Experiment,Final_Episodic_Return,Best_Episodic_Return,Worst_Episodic_Return,Total_Episodes,Mean_Episode_Return,Std_Episode_Return,Final_Cumulative_Return,SULI_time_step_till_impact_avg,SULI_first_step_of_decoy_contact_avg,SULI_impacted_decoys_avg,SULI_steps_delayed_avg
Blue 200hosts PPO,,,,,,,,,,,
Phase1 Validation,,,,,,,,,,,
Phase1 Validation HPC,722.0,722.0,-483.0,10.0,-138.1,339.0187162974929,-1381.0,28.299999237060547,0.800000011920929,0.0,2.5999999046325684
Phase2 Blue HighDecoy,372.1333312988281,402.0333251953125,-398.6000061035156,3333.0,340.34919510208164,73.29220466586946,1134383.867275238,0.0,1.0,0.0,0.6000000238418579
Phase2 Blue HighDecoy HPC,-246.75,-192.4375,-344.0,6250.0,-250.67282,12.147527093923273,-1566705.125,0.0,0.6000000238418579,0.0,0.5
Phase2 Blue LowDecoy,398.0,510.1000061035156,-549.066650390625,3333.0,416.6005299876232,87.4615495423017,1388529.566448748,22.5,0.0,0.0,0.0
Phase2 Blue Medium HPC,-259.3125,-185.4375,-346.625,10000.0,-251.7102375,12.513668440942638,-2517102.375,0.0,1.399999976158142,0.0,0.4000000059604645
Phase2 Blue PerfectDetection HPC,255.875,714.375,-347.9375,6250.0,195.78771,145.39277303594187,1223673.1875,20.399999618530273,0.30000001192092896,0.0,4.199999809265137
Phase2 Blue Small,670.2999877929688,959.5,43.20000076293945,2000.0,636.586549402237,120.45310295633779,1273173.0988044739,31.5,1.399999976158142,0.0,10.100000381469727
Phase2 Blue Small HPC,-80.25,752.375,-403.375,2500.0,71.01875,176.28899020411768,177546.875,23.799999237060547,0.4000000059604645,0.0,6.400000095367432
