experiment,episode,step,total_nodes,total_edges,compromised_nodes,decoy_nodes,density,is_connected,decoy_ratio
Phase1_Validation_HPC_Interactive,0,1,20,19,0,0,0.05,True,0.0
Phase1_Validation_HPC_Interactive,0,10,22,21,0,0,0.045454545454545456,True,0.0
Phase1_Validation_HPC_Interactive,0,11,23,22,0,0,0.043478260869565216,True,0.0
Phase1_Validation_HPC_Interactive,0,12,24,23,0,0,0.041666666666666664,True,0.0
Phase2_Blue_HighDecoy_HPC_Interactive,0,0,210,209,0,0,0.004761904761904762,True,0.0
Phase2_Blue_HighDecoy_HPC_Interactive,0,1,211,210,0,0,0.004739336492890996,True,0.0
Phase2_Blue_HighDecoy_HPC_Interactive,0,10,214,213,0,0,0.004672897196261682,True,0.0
Phase2_Blue_HighDecoy_HPC_Interactive,0,11,214,213,0,0,0.004672897196261682,True,0.0
Phase2_Blue_HighDecoy_HPC_Interactive,0,12,214,213,0,0,0.004672897196261682,True,0.0
Phase2_Blue_Medium_HPC_Interactive,0,0,209,208,0,0,0.004784688995215311,True,0.0
Phase2_Blue_Medium_HPC_Interactive,0,1,209,208,0,0,0.004784688995215311,True,0.0
Phase2_Blue_Medium_HPC_Interactive,0,10,214,213,0,0,0.004672897196261682,True,0.0
Phase2_Blue_Medium_HPC_Interactive,0,11,214,213,0,0,0.004672897196261682,True,0.0
Phase2_Blue_Medium_HPC_Interactive,0,12,214,213,0,0,0.004672897196261682,True,0.0
Phase2_Blue_Medium_Visualization,0,0,209,208,0,0,0.004784688995215311,True,0.0
Phase2_Blue_Medium_Visualization,0,1,209,208,0,0,0.004784688995215311,True,0.0
Phase2_Blue_Medium_Visualization,0,10,214,213,0,0,0.004672897196261682,True,0.0
Phase2_Blue_Medium_Visualization,0,11,214,213,0,0,0.004672897196261682,True,0.0
Phase2_Blue_Medium_Visualization,0,12,214,213,0,0,0.004672897196261682,True,0.0
