,episode,step,red_action_success,red_action_type,red_action_src,red_action_dest,blue_action,blue_action_id,blue_action_target,reward
0,0,0,True,pingsweep,host29,host29,deploy_decoy,fa737b84f2d94d4996ef07673444f1ac,dmz_subnet,-21.0
1,0,1,True,portscan,host29,host29,deploy_decoy,0a9dcbf5793d4057bfb92492557a9c3e,user_subnet1,-22.0
2,0,2,True,discovery,host29,host29,deploy_decoy,2fc11f2cb3f84262be387a43185d9818,user_subnet2,-25.0
3,0,3,True,portscan,host29,host27,deploy_decoy,fd6036cf9b5543c4af8b6371df1ef7ba,subnet3,-22.0
4,0,4,True,portscan,host29,host20,deploy_decoy,07c9fc8028dd4407a0eeb65af505d648,subnet3,-22.0
5,0,5,True,portscan,host29,host38,deploy_decoy,decoy_limit_exceeded,subnet4,-2.0
6,0,6,True,portscan,host29,host33,deploy_decoy,decoy_limit_exceeded,user_subnet2,-2.0
7,0,7,True,portscan,host29,host26,deploy_decoy,decoy_limit_exceeded,subnet4,-2.0
8,0,8,True,lateral-movement,host29,host20,deploy_decoy,decoy_limit_exceeded,dmz_subnet,-10.0
9,0,9,True,discovery,host20,host20,deploy_decoy,decoy_limit_exceeded,subnet3,-5.0
10,0,10,True,portscan,host20,host28,deploy_decoy,decoy_limit_exceeded,server_subnet1,-2.0
11,0,11,True,lateral-movement,host20,host28,deploy_decoy,decoy_limit_exceeded,subnet4,-10.0
12,0,12,True,discovery,host28,host28,deploy_decoy,decoy_limit_exceeded,user_subnet1,-5.0
13,0,13,True,portscan,host28,host36,deploy_decoy,decoy_limit_exceeded,dmz_subnet,-2.0
14,0,14,True,pingsweep,host28,dmz4,deploy_decoy,decoy_limit_exceeded,server_subnet2,-1.0
15,0,15,True,pingsweep,host28,server9,deploy_decoy,decoy_limit_exceeded,subnet3,-1.0
16,0,16,True,portscan,host28,host34,deploy_decoy,decoy_limit_exceeded,user_subnet2,-2.0
17,0,17,True,portscan,host28,server11,deploy_decoy,decoy_limit_exceeded,subnet4,-2.0
18,0,18,True,pingsweep,host28,server_or_host4,deploy_decoy,decoy_limit_exceeded,server_subnet2,-1.0
19,0,19,True,portscan,host28,server_or_host9,deploy_decoy,decoy_limit_exceeded,server_subnet1,-2.0
20,0,20,True,portscan,host28,server_or_host6,deploy_decoy,decoy_limit_exceeded,user_subnet1,-2.0
21,0,21,True,portscan,host28,server_or_host10,deploy_decoy,decoy_limit_exceeded,dmz_subnet,-2.0
22,0,22,True,lateral-movement,host28,server_or_host10,nothing,1345823d25f849d79986ed00e73dc57e,,-10.0
23,0,23,True,discovery,server_or_host10,server_or_host10,deploy_decoy,decoy_limit_exceeded,subnet3,-5.0
24,0,24,True,portscan,server_or_host10,server_or_host1,deploy_decoy,decoy_limit_exceeded,server_subnet2,-2.0
25,0,25,True,portscan,server_or_host10,server_or_host11,deploy_decoy,decoy_limit_exceeded,server_subnet2,-2.0
26,0,26,True,portscan,server_or_host10,server_or_host21,deploy_decoy,decoy_limit_exceeded,dmz_subnet,-2.0
27,0,27,True,portscan,server_or_host10,host25,deploy_decoy,decoy_limit_exceeded,user_subnet1,-2.0
28,0,28,True,portscan,server_or_host10,dmz18,deploy_decoy,decoy_limit_exceeded,subnet4,-2.0
29,0,29,True,portscan,server_or_host10,server16,deploy_decoy,decoy_limit_exceeded,subnet3,-2.0
30,0,30,True,portscan,server_or_host10,server_or_host30,deploy_decoy,decoy_limit_exceeded,server_subnet1,-2.0
31,0,31,True,lateral-movement,server_or_host10,server11,nothing,3a9caf152d8e4452b6e58d616ad83eea,,-10.0
32,0,32,True,discovery,server11,server11,deploy_decoy,decoy_limit_exceeded,server_subnet1,-5.0
33,0,33,True,portscan,server11,server_or_host13,deploy_decoy,decoy_limit_exceeded,server_subnet2,-2.0
34,0,34,True,pingsweep,server11,2fc11f2cb3f84262be387a43185d9818,deploy_decoy,decoy_limit_exceeded,user_subnet2,10.0
35,0,35,True,lateral-movement,server11,server16,nothing,1db325aba20b448386466aac34fc35b6,,-10.0
36,0,36,True,discovery,server16,server16,deploy_decoy,decoy_limit_exceeded,subnet4,-5.0
37,0,37,True,lateral-movement,server16,host26,deploy_decoy,decoy_limit_exceeded,subnet3,-10.0
38,0,38,True,discovery,host26,host26,deploy_decoy,decoy_limit_exceeded,user_subnet1,-5.0
39,0,39,True,portscan,host26,server_or_host14,deploy_decoy,decoy_limit_exceeded,dmz_subnet,-2.0
40,0,40,True,portscan,host26,host22,deploy_decoy,decoy_limit_exceeded,server_subnet1,-2.0
41,0,41,True,portscan,host26,dmz13,deploy_decoy,decoy_limit_exceeded,subnet4,-2.0
42,0,42,True,portscan,host26,server_or_host2,deploy_decoy,decoy_limit_exceeded,server_subnet1,-2.0
