,episode,step,red_action_success,red_action_type,red_action_src,red_action_dest,blue_action,blue_action_id,blue_action_target,reward
0,0,0,True,pingsweep,host29,host29,remove_decoy,,,-1.0
1,0,1,True,portscan,host29,host29,remove_decoy,,,-2.0
2,0,2,True,discovery,host29,host29,remove_decoy,,,-5.0
3,0,3,True,portscan,host29,host23,remove_decoy,,,-2.0
4,0,4,True,portscan,host29,host35,remove_decoy,,,-2.0
5,0,5,True,portscan,host29,host20,deploy_decoy,2cb1685104f24c44be9c140b9884bf85,subnet4,-22.0
6,0,6,True,lateral-movement,host29,host35,deploy_decoy,34fa0b2876eb45d5a51321aadd7fc0b3,user_subnet2,-30.0
7,0,7,True,discovery,host35,host35,nothing,fece7cb63a7d44e095c50b0711c2f7ab,,-5.0
8,0,8,True,pingsweep,host35,server_or_host64,deploy_decoy,12c5f76aeb83436eb64d0f62eb4311f0,dmz_subnet,-21.0
9,0,9,True,portscan,host35,server_or_host59,deploy_decoy,ebb84a13885c4f418c9c039e9b8d0d00,subnet3,-22.0
10,0,10,True,portscan,host35,host36,deploy_decoy,d21ddaf1cd15423d80f0756eb1e21328,server_subnet1,-22.0
11,0,11,True,lateral-movement,host35,host36,deploy_decoy,decoy_limit_exceeded,subnet4,-10.0
12,0,12,True,discovery,host36,host36,deploy_decoy,decoy_limit_exceeded,user_subnet1,-5.0
13,0,13,True,portscan,host36,server_or_host40,deploy_decoy,decoy_limit_exceeded,dmz_subnet,-2.0
14,0,14,True,portscan,host36,server_or_host49,deploy_decoy,decoy_limit_exceeded,server_subnet2,-2.0
15,0,15,True,portscan,host36,host26,deploy_decoy,decoy_limit_exceeded,subnet3,-2.0
16,0,16,True,portscan,host36,server_or_host54,deploy_decoy,decoy_limit_exceeded,user_subnet2,-2.0
17,0,17,True,portscan,host36,2cb1685104f24c44be9c140b9884bf85,deploy_decoy,decoy_limit_exceeded,subnet4,20.0
18,0,18,True,portscan,host36,host27,deploy_decoy,decoy_limit_exceeded,server_subnet2,-2.0
