,episode,step,red_action_success,red_action_type,red_action_src,red_action_dest,blue_action,blue_action_id,blue_action_target,reward
0,0,0,True,pingsweep,host29,host29,remove_decoy,,,-1.0
1,0,1,True,portscan,host29,host29,remove_decoy,,,-2.0
2,0,2,True,discovery,host29,host29,remove_decoy,,,-5.0
3,0,3,True,pingsweep,host29,server_or_host4,deploy_decoy,8dcce72dec47493880eddc78d4f533d8,subnet3,-21.0
4,0,4,True,portscan,host29,server_or_host34,remove_decoy,,,-2.0
5,0,5,True,portscan,host29,server_or_host10,deploy_decoy,ca66be98cac543e381aa394fe4b088e9,subnet4,-22.0
6,0,6,True,portscan,host29,server_or_host5,deploy_decoy,4f98179f87574f5995a914a43449624f,user_subnet2,-22.0
7,0,7,True,portscan,host29,server_or_host22,nothing,5613a5a65745472abf434293133a5521,,-2.0
8,0,8,True,portscan,host29,server_or_host26,deploy_decoy,993fbcb4433a42f38d63d04f08086090,dmz_subnet,-22.0
9,0,9,True,portscan,host29,server_or_host30,deploy_decoy,75b43ddc0b324b498caf34651391a837,subnet3,-22.0
10,0,10,True,portscan,host29,server_or_host19,deploy_decoy,decoy_limit_exceeded,server_subnet1,-2.0
11,0,11,True,portscan,host29,server_or_host32,deploy_decoy,decoy_limit_exceeded,subnet4,-2.0
12,0,12,True,portscan,host29,server_or_host17,deploy_decoy,decoy_limit_exceeded,user_subnet1,-2.0
13,0,13,True,portscan,host29,host35,deploy_decoy,decoy_limit_exceeded,dmz_subnet,-2.0
14,0,14,True,lateral-movement,host29,host35,deploy_decoy,decoy_limit_exceeded,server_subnet2,-10.0
15,0,15,True,discovery,host35,host35,deploy_decoy,decoy_limit_exceeded,subnet3,-5.0
16,0,16,True,portscan,host35,server_or_host13,deploy_decoy,decoy_limit_exceeded,user_subnet2,-2.0
17,0,17,True,portscan,host35,server_or_host21,deploy_decoy,decoy_limit_exceeded,subnet4,-2.0
18,0,18,True,portscan,host35,host26,deploy_decoy,decoy_limit_exceeded,server_subnet2,-2.0
