Agent,Network_Size,Episode,Reward,Avg_Reward,Reward_Std,Success_Rate,Action_Deploy,Action_Remove,Action_Nothing,Total_Actions
RandomBaseline,small_network,0,400.45256918964554,359.57010387954807,82.30581927705398,1.0,244,246,510,1000
RandomBaseline,small_network,1,348.19014729488435,359.57010387954807,82.30581927705398,1.0,244,246,510,1000
RandomBaseline,small_network,2,412.87863964428294,359.57010387954807,82.30581927705398,1.0,244,246,510,1000
RandomBaseline,small_network,3,484.9243239946245,359.57010387954807,82.30581927705398,1.0,244,246,510,1000
RandomBaseline,small_network,4,340.2979185364569,359.57010387954807,82.30581927705398,1.0,244,246,510,1000
RandomBaseline,small_network,5,340.29926981480946,359.57010387954807,82.30581927705398,1.0,244,246,510,1000
RandomBaseline,small_network,6,489.548508472707,359.57010387954807,82.30581927705398,1.0,244,246,510,1000
RandomBaseline,small_network,7,422.7344480041422,359.57010387954807,82.30581927705398,1.0,244,246,510,1000
RandomBaseline,small_network,8,320.92962991558,359.57010387954807,82.30581927705398,1.0,244,246,510,1000
RandomBaseline,small_network,9,404.225952773885,359.57010387954807,82.30581927705398,1.0,244,246,510,1000
PPO_BestProduction,small_network,0,327.70493045848275,309.14046093269235,37.37455317761115,1.0,204,192,604,1000
PPO_BestProduction,small_network,1,303.97289445600467,309.14046093269235,37.37455317761115,1.0,204,192,604,1000
PPO_BestProduction,small_network,2,333.3475306424659,309.14046093269235,37.37455317761115,1.0,204,192,604,1000
PPO_BestProduction,small_network,3,366.06302129210354,309.14046093269235,37.37455317761115,1.0,204,192,604,1000
PPO_BestProduction,small_network,4,300.3890831773779,309.14046093269235,37.37455317761115,1.0,204,192,604,1000
PPO_BestProduction,small_network,5,300.38969678435114,309.14046093269235,37.37455317761115,1.0,204,192,604,1000
PPO_BestProduction,small_network,6,368.1628342846384,309.14046093269235,37.37455317761115,1.0,204,192,604,1000
PPO_BestProduction,small_network,7,337.82299102776335,309.14046093269235,37.37455317761115,1.0,204,192,604,1000
PPO_BestProduction,small_network,8,291.59406553004015,309.14046093269235,37.37455317761115,1.0,204,192,604,1000
PPO_BestProduction,small_network,9,329.41840013374303,309.14046093269235,37.37455317761115,1.0,204,192,604,1000
